,Unnamed: 0,time,median_100_200Hz,avg_100_200Hz,median_400_600Hz,avg_400_600Hz,median_800_1000Hz,avg_800_1000Hz,median_1000_1200Hz,avg_1000_1200Hz,median_1600_1800Hz,avg_1600_1800Hz,median_2000_2600Hz,avg_2000_2600Hz,median_3000_4000Hz,avg_3000_4000Hz
52,4,2023-06-04 02:15:00,-10.04051796719462,-9.814377835806344,-9.535335332448025,-9.210008606361344,-8.469882297365984,-8.290942768211947,-8.86063277432782,-8.680732766167276,-10.058727166409366,-9.88196070556095,-10.797817181336326,-10.597036701881676,-11.514854088883077,-11.297012887685929
53,5,2023-06-04 02:45:00,-10.04051796719462,-9.814377835806344,-9.535335332448025,-9.210008606361344,-8.469882297365984,-8.290942768211947,-8.86810487926776,-8.68452698495306,-10.142601640835217,-9.972960949499168,-10.797817181336326,-10.59963538206731,-11.514854088883077,-11.2973616888781
54,6,2023-06-04 03:15:00,-10.04051796719462,-9.814377835806344,-9.535335332448025,-9.216107889074282,-8.470663746008558,-8.290942768211947,-8.90604468326228,-8.7259093398362,-10.214385543743832,-10.048510526410256,-10.797817181336326,-10.603591561999954,-11.514854088883077,-11.2973616888781
55,7,2023-06-04 03:45:00,-10.04051796719462,-9.814377835806344,-9.526008670600149,-9.216107889074282,-8.470663746008558,-8.290942768211947,-8.92576733071663,-8.75932129408246,-10.23628034499068,-10.07329949132299,-10.795767758818275,-10.605586510889422,-11.51787149252068,-11.304463122214033
56,8,2023-06-04 04:15:00,-10.121629170068644,-9.892773167222476,-9.521338444807618,-9.210008606361344,-8.469882297365984,-8.287727060505624,-8.92576733071663,-8.75932129408246,-10.23897528855222,-10.074654177213665,-10.795767758818275,-10.613211401232045,-11.521575643115264,-11.305461511512895
57,9,2023-06-04 04:45:00,-10.16222853306391,-9.94111422640171,-9.511291878158028,-9.201561900167096,-8.469882297365984,-8.286442203391946,-8.92576733071663,-8.75932129408246,-10.25453926129708,-10.08783484033398,-10.795767758818275,-10.613211401232045,-11.521575643115264,-11.305461511512895
58,10,2023-06-04 05:15:00,-10.274051144306586,-10.05485086655002,-9.5076555100807,-9.194890700466969,-8.469882297365984,-8.286442203391946,-8.92576733071663,-8.75932129408246,-10.27402453571734,-10.112468613039324,-10.795767758818275,-10.613211401232045,-11.521575643115264,-11.305461511512895
59,11,2023-06-04 05:45:00,-10.274051144306586,-10.05485086655002,-9.507544860402264,-9.18011267452144,-8.468708811368886,-8.28598991616502,-8.86627201249761,-8.687883390037445,-10.28180753443265,-10.115722301517104,-10.808364830111412,-10.62367964348302,-11.521575643115264,-11.305461511512895
60,12,2023-06-04 06:15:00,-10.274051144306586,-10.05485086655002,-9.489151530868677,-9.164137426514962,-8.470663746008558,-8.28598991616502,-8.861861990825286,-8.686872246328209,-10.28180753443265,-10.115722301517104,-10.80974563476106,-10.624334029903997,-11.521575643115264,-11.307568434955284
61,13,2023-06-04 06:45:00,-10.274051144306586,-10.05485086655002,-9.48425366922431,-9.13925590894602,-8.475668093772887,-8.296162844078136,-8.861861990825286,-8.686872246328209,-10.287631606354932,-10.126128991916378,-10.8190862865316,-10.63580443728324,-11.521575643115264,-11.306178380293154
